kind,agency_slug,parent_slug,officeName,pageTitle,phone,hours,address_line1,address_line2,city,state,zip,singleLineAddress,mapSearchUrl,sourceUrl,cmsStatus,locationLabel,notes,liveFormId,headlessFormId,officeImageUrl,needsReview,agent_count
single,alabama,,"AmeriLife of Alabama, LLC","AmeriLife of Alabama, LLC",(205) 874-9138,Monday-Friday 8am-5pm,"3800 Colonnade Parkway, Suite 540",,Birmingham,AL,35243,"3800 Colonnade Parkway, Suite 540, Birmingham, AL 35243",https://www.google.com/maps/search/?api=1&query=3800%20Colonnade%20Parkway%2C%20Suite%20540%2C%20Birmingham%2C%20AL%2035243,https://amerilife.com/alabama/,Active,Find an Agent – Alabama (Birmingham),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,arizona,,"AmeriLife of Arizona, LLC","AmeriLife of Arizona, LLC",,Monday-Friday 7am-3pm,4515 S McClintock Dr. Suite 116,,Tempe,AZ,85281,"4515 S McClintock Dr. Suite 116, Tempe, AZ 85281",https://www.google.com/maps/search/?api=1&query=4515%20S%20McClintock%20Dr.%20Suite%20116%2C%20Tempe%2C%20AZ%2085281,https://amerilife.com/arizona/,Active,Find an Agent – Arizona (Tempe),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,missing_phone,1
single,asheville,,"AmeriLife of Asheville, LLC","AmeriLife of Asheville, LLC",(800) 249-1477,Monday-Friday 8am-5pm,2367 Hendersonville Road,,Arden,NC,28704,"2367 Hendersonville Road, Arden, NC 28704",https://www.google.com/maps/search/?api=1&query=2367%20Hendersonville%20Road%2C%20Arden%2C%20NC%2028704,https://amerilife.com/asheville/,Active,Find an Agent – Asheville NC,,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,atlanta,,"AmeriLife of Atlanta, LLC","AmeriLife of Atlanta, LLC",(770) 993-5706,Monday-Friday 8am-5pm,"Hightower Center 8300 Dunwoody Place, Suite 150",,Sandy Springs,GA,30350,"Hightower Center 8300 Dunwoody Place, Suite 150, Sandy Springs, GA 30350",https://www.google.com/maps/search/?api=1&query=Hightower%20Center%208300%20Dunwoody%20Place%2C%20Suite%20150%2C%20Sandy%20Springs%2C%20GA%2030350,https://amerilife.com/atlanta/,Active,Find an Agent – Atlanta GA (Sandy Springs),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,brevard,,"AmeriLife of Brevard County, LLC","AmeriLife of Brevard County, LLC",(321) 951-1111,Monday-Friday 8am-5pm,"3945 W Eau Gallie Blvd, Suite 108",,Melbourne,FL,32934,"3945 W Eau Gallie Blvd, Suite 108, Melbourne, FL 32934",https://www.google.com/maps/search/?api=1&query=3945%20W%20Eau%20Gallie%20Blvd%2C%20Suite%20108%2C%20Melbourne%2C%20FL%2032934,https://amerilife.com/brevard/,Active,Find an Agent – Brevard County FL (Melbourne),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,california,,"AmeriLife of California, LLC","AmeriLife of California, LLC",(760) 517-6002,Monday-Friday 8am-5pm,380 S. Melrose Dr.,Suite 306,Vista,CA,92081,"380 S. Melrose Dr., Suite 306, Vista, CA 92081",https://www.google.com/maps/search/?api=1&query=380%20S.%20Melrose%20Dr.%2C%20Suite%20306%2C%20Vista%2C%20CA%2092081,https://amerilife.com/california/,Active,Find an Agent – California (Vista),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,cary,,"AmeriLife of Greensboro, LLC – Cary","AmeriLife of Greensboro, LLC – Cary",,Monday-Friday 8am-5pm,"2051 Renaissance Park Place, Suite 209",,Cary,NC,27513,"2051 Renaissance Park Place, Suite 209, Cary, NC 27513",https://www.google.com/maps/search/?api=1&query=2051%20Renaissance%20Park%20Place%2C%20Suite%20209%2C%20Cary%2C%20NC%2027513,https://amerilife.com/cary/,Active,Find an Agent – Cary NC (Satellite – Greensboro),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,missing_phone,1
single,charleston,,"AmeriLife of Charleston County, LLC","AmeriLife of Charleston County, LLC",,Monday-Friday 8am-5pm,4975 Lacross Road,,North Charleston,SC,29406,"4975 Lacross Road, North Charleston, SC 29406",https://www.google.com/maps/search/?api=1&query=4975%20Lacross%20Road%2C%20North%20Charleston%2C%20SC%2029406,https://amerilife.com/charleston/,Active,Find an Agent – Charleston County SC,,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,missing_phone,1
single,charlotte,,"AmeriLife of Charlotte County, LLC","AmeriLife of Charlotte County, LLC",(941) 743-2522,Monday-Friday 8am-5pm,1988 Kings Hwy,,Port Charlotte,FL,33980,"1988 Kings Hwy, Port Charlotte, FL 33980",https://www.google.com/maps/search/?api=1&query=1988%20Kings%20Hwy%2C%20Port%20Charlotte%2C%20FL%2033980,https://amerilife.com/charlotte/,Active,Find an Agent – Charlotte County FL (Port Charlotte),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,citrus,,"AmeriLife of Citrus County, LLC","AmeriLife of Citrus County, LLC",,Monday-Friday 8am-5pm,217 E Highland Blvd.,,Inverness,FL,34452,"217 E Highland Blvd., Inverness, FL 34452",https://www.google.com/maps/search/?api=1&query=217%20E%20Highland%20Blvd.%2C%20Inverness%2C%20FL%2034452,https://amerilife.com/citrus/,Active,Find an Agent – Citrus County FL (Inverness),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,missing_phone,1
single,clearwater,,"AmeriLife of Clearwater, LLC","AmeriLife of Clearwater, LLC",,Monday-Friday 8am-5pm,2650 McCormick Drive,,Clearwater,FL,33759,"2650 McCormick Drive, Clearwater, FL 33759",https://www.google.com/maps/search/?api=1&query=2650%20McCormick%20Drive%2C%20Clearwater%2C%20FL%2033759,https://amerilife.com/clearwater/,Active,Find an Agent – Clearwater FL,,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,missing_phone,1
single,dallas,,"AmeriLife of Dallas Texas, LLC","AmeriLife of Dallas Texas, LLC",(972) 550-7259,Monday-Friday 8am-5pm,"1333 Corporate Dr, Suite 310",,Irving,TX,75038,"1333 Corporate Dr, Suite 310, Irving, TX 75038",https://www.google.com/maps/search/?api=1&query=1333%20Corporate%20Dr%2C%20Suite%20310%2C%20Irving%2C%20TX%2075038,https://amerilife.com/dallas/,Inactive,Find an Agent – Dallas TX (Irving) [INACTIVE],Marked inactive in CMS,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
sub,florida-west-palm-beach,florida,AmeriLife of Florida Market — West Palm Beach,AmeriLife of Florida Market — West Palm Beach,(561) 615-9164,Monday-Friday 8 am-5 pm,"1475 Centrepark Blvd, Suite 205",,West Palm Beach,FL,33401,"1475 Centrepark Blvd, Suite 205, West Palm Beach, FL 33401",https://www.google.com/maps/search/?api=1&query=1475%20Centrepark%20Blvd%2C%20Suite%20205%2C%20West%20Palm%20Beach%2C%20FL%2033401,https://amerilife.com/florida/,Active,Find an Agent – Florida (West Palm Beach / Ft Lauderdale),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
sub,florida-fort-lauderdale,florida,AmeriLife of Florida Market — Fort Lauderdale,AmeriLife of Florida Market — Fort Lauderdale,(954) 772-2143,Monday-Friday 8 am-5 pm,"800 West Cypress Creek Road, Suite 530",,Fort Lauderdale,FL,33309,"800 West Cypress Creek Road, Suite 530, Fort Lauderdale, FL 33309",https://www.google.com/maps/search/?api=1&query=800%20West%20Cypress%20Creek%20Road%2C%20Suite%20530%2C%20Fort%20Lauderdale%2C%20FL%2033309,https://amerilife.com/florida/,Active,Find an Agent – Florida (West Palm Beach / Ft Lauderdale),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,georgia,,"AmeriLife of Georgia, LLC","AmeriLife of Georgia, LLC",,Monday-Friday 8am-5pm,303 Corporate Center Dr.,,Stockbridge,GA,30281,"303 Corporate Center Dr., Stockbridge, GA 30281",https://www.google.com/maps/search/?api=1&query=303%20Corporate%20Center%20Dr.%2C%20Stockbridge%2C%20GA%2030281,https://amerilife.com/georgia/,Active,Find an Agent – Georgia (Stockbridge),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,missing_phone,1
single,greensboro,,"AmeriLife of Greensboro, LLC","AmeriLife of Greensboro, LLC",(800) 854-6131,Monday-Friday 8am-5pm,5509-B W. Friendly Ave Suite 304,,Greensboro,NC,27410,"5509-B W. Friendly Ave Suite 304, Greensboro, NC 27410",https://www.google.com/maps/search/?api=1&query=5509-B%20W.%20Friendly%20Ave%20Suite%20304%2C%20Greensboro%2C%20NC%2027410,https://amerilife.com/greensboro/,Active,Find an Agent – Greensboro NC,,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,gulfcoast,,"AmeriLife of Gulfcoast, LLC","AmeriLife of Gulfcoast, LLC",(888) 663-4698,Monday-Friday 8am-5pm,4960 Fruitville Road,,Sarasota,FL,34232,"4960 Fruitville Road, Sarasota, FL 34232",https://www.google.com/maps/search/?api=1&query=4960%20Fruitville%20Road%2C%20Sarasota%2C%20FL%2034232,https://amerilife.com/gulfcoast/,Active,Find an Agent – Gulfcoast FL (Sarasota),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,hernando,,"AmeriLife of Hernando County, LLC","AmeriLife of Hernando County, LLC",(352) 684-0727,Monday-Friday 8am-5pm,Timber Pines Centre,2705 Forest Rd,Spring Hill,FL,34606,"Timber Pines Centre, 2705 Forest Rd, Spring Hill, FL 34606",https://www.google.com/maps/search/?api=1&query=Timber%20Pines%20Centre%2C%202705%20Forest%20Rd%2C%20Spring%20Hill%2C%20FL%2034606,https://amerilife.com/hernando/,Active,Find an Agent – Hernando County FL (Spring Hill),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,highland-village,,"AmeriLife of Highland Village Texas, LLC","AmeriLife of Highland Village Texas, LLC",(469) 405-8880,Monday-Friday 8am-5pm,"2840 Village Parkway, Suite 120",,Highland Village,TX,75077,"2840 Village Parkway, Suite 120, Highland Village, TX 75077",https://www.google.com/maps/search/?api=1&query=2840%20Village%20Parkway%2C%20Suite%20120%2C%20Highland%20Village%2C%20TX%2075077,https://amerilife.com/highland-village/,Active,Find an Agent – Highland Village TX,,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,kissimmee,,"AmeriLife of Polk County, LLC – Kissimmee","AmeriLife of Polk County, LLC – Kissimmee",,Monday-Friday 8 am-5 pm,8681 W Irlo Bronson Memorial Hwy,,Kissimmee,FL,34747,"8681 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34747",https://www.google.com/maps/search/?api=1&query=8681%20W%20Irlo%20Bronson%20Memorial%20Hwy%2C%20Kissimmee%2C%20FL%2034747,https://amerilife.com/kissimmee/,Active,Find an Agent – Kissimmee FL,,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,missing_phone,1
single,kissimmee-satellite,,"AmeriLife of Polk County, LLC – Kissimmee","AmeriLife of Polk County, LLC – Kissimmee",(407) 778-1557,Monday-Friday 8am-5pm,8681 W Irlo Bronson Memorial Hwy,Suite 129,Kissimmee,FL,34747,"8681 W Irlo Bronson Memorial Hwy, Suite 129, Kissimmee, FL 34747",https://www.google.com/maps/search/?api=1&query=8681%20W%20Irlo%20Bronson%20Memorial%20Hwy%2C%20Suite%20129%2C%20Kissimmee%2C%20FL%2034747,https://amerilife.com/kissimmee-satellite/,Active,Find an Agent – Kissimmee Satellite (Polk County),New template,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,lakeland-satellite,,"AmeriLife of Polk County, LLC – Lakeland","AmeriLife of Polk County, LLC – Lakeland",(407) 778-1557,Monday-Friday 8am-5pm,909 E Parker St,,Lakeland,FL,33801,"909 E Parker St, Lakeland, FL 33801",https://www.google.com/maps/search/?api=1&query=909%20E%20Parker%20St%2C%20Lakeland%2C%20FL%2033801,https://amerilife.com/lakeland-satellite/,Active,Find an Agent – Lakeland Satellite (Polk County),New template,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,macon,,"AmeriLife of Georgia, LLC – Macon","AmeriLife of Georgia, LLC – Macon",(478) 475-7828,Monday-Friday 8am-5pm,161 Gateway Dr.,Suite B,Macon,GA,31210,"161 Gateway Dr., Suite B, Macon, GA 31210",https://www.google.com/maps/search/?api=1&query=161%20Gateway%20Dr.%2C%20Suite%20B%2C%20Macon%2C%20GA%2031210,https://amerilife.com/macon/,Active,Find an Agent – Macon GA,,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,mansfield,,"AmeriLife of Mansfield Texas, LLC","AmeriLife of Mansfield Texas, LLC",,Monday-Friday 8am-5pm,235 NE Loop 820 Ste 100,,Hurst,TX,76053,"235 NE Loop 820 Ste 100, Hurst, TX 76053",https://www.google.com/maps/search/?api=1&query=235%20NE%20Loop%20820%20Ste%20100%2C%20Hurst%2C%20TX%2076053,https://amerilife.com/mansfield/,Active,Find an Agent – Mansfield TX,,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,missing_phone,1
single,marion,,"AmeriLife of Marion County, LLC","AmeriLife of Marion County, LLC",(352) 854-3031,Monday-Friday 8am-5pm,"8960 S W Hwy 200, Suite 1",,Ocala,FL,34481,"8960 S W Hwy 200, Suite 1, Ocala, FL 34481",https://www.google.com/maps/search/?api=1&query=8960%20S%20W%20Hwy%20200%2C%20Suite%201%2C%20Ocala%2C%20FL%2034481,https://amerilife.com/marion/,Active,Find an Agent – Marion County FL (Ocala),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,mckinney,,"AmeriLife of McKinney Texas, LLC","AmeriLife of McKinney Texas, LLC",(469) 640-1028,Monday-Friday 8am-5pm,5900 South Lake Forest Drive #260,,McKinney,TX,75070,"5900 South Lake Forest Drive #260, McKinney, TX 75070",https://www.google.com/maps/search/?api=1&query=5900%20South%20Lake%20Forest%20Drive%20%23260%2C%20McKinney%2C%20TX%2075070,https://amerilife.com/mckinney/,Inactive,Find an Agent – McKinney TX [INACTIVE],Marked inactive in CMS,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,the-northeast,,"AmeriLife of the Northeast, LLC","AmeriLife of the Northeast, LLC",(508) 251-0916,Monday-Friday 8am-5pm,"33 Boston Post Rd West, Suite 350",,Marlborough,MA,01752,"33 Boston Post Rd West, Suite 350, Marlborough, MA 01752",https://www.google.com/maps/search/?api=1&query=33%20Boston%20Post%20Rd%20West%2C%20Suite%20350%2C%20Marlborough%2C%20MA%2001752,https://amerilife.com/the-northeast/,Active,Find an Agent – Northeast (Marlborough MA),,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,ormond-beach,,"AmeriLife of Brevard County, LLC – Ormond Beach","AmeriLife of Brevard County, LLC – Ormond Beach",(800) 230-2864,Monday-Friday 8am-5pm,"1450 N US HWY 1, Suite 600",,Ormond Beach,FL,32174,"1450 N US HWY 1, Suite 600, Ormond Beach, FL 32174",https://www.google.com/maps/search/?api=1&query=1450%20N%20US%20HWY%201%2C%20Suite%20600%2C%20Ormond%20Beach%2C%20FL%2032174,https://amerilife.com/ormond-beach/,Active,Find an Agent – Ormond Beach FL,,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,pensacola,,"AmeriLife of Florida, LLC – Pensacola","AmeriLife of Florida, LLC – Pensacola",(850) 741-2514,Monday-Friday 8am-5pm,"125 W Romana St, Suite 203",,Pensacola,FL,32502,"125 W Romana St, Suite 203, Pensacola, FL 32502",https://www.google.com/maps/search/?api=1&query=125%20W%20Romana%20St%2C%20Suite%20203%2C%20Pensacola%2C%20FL%2032502,https://amerilife.com/pensacola/,Active,Find an Agent – Pensacola FL,,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,polk-county,,"AmeriLife of Polk County, LLC","AmeriLife of Polk County, LLC",(863) 291-4111,Monday-Friday 8am-5pm,6322 Cypress Gardens Blvd.,,Winter Haven,FL,33884,"6322 Cypress Gardens Blvd., Winter Haven, FL 33884",https://www.google.com/maps/search/?api=1&query=6322%20Cypress%20Gardens%20Blvd.%2C%20Winter%20Haven%2C%20FL%2033884,https://amerilife.com/polk-county/,Active,Find an Agent – Polk County FL (Winter Haven) – Main,New template,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,,1
single,rhode-island,,"AmeriLife of Rhode Island, LLC","AmeriLife of Rhode Island, LLC",,Monday-Friday 8am-5pm,235 NE Loop 820 Ste 100,,Hurst,TX,76053,"235 NE Loop 820 Ste 100, Hurst, TX 76053",https://www.google.com/maps/search/?api=1&query=235%20NE%20Loop%20820%20Ste%20100%2C%20Hurst%2C%20TX%2076053,https://amerilife.com/rhode-island/,Active,Find an Agent – Rhode Island (Cranston),Not in CMS list,31,31,https://headlessameril.wpenginepowered.com/wp-content/uploads/2023/04/AML-Wealth-II-Announcement-040532023-HERO-1024x358-1.png,missing_phone,1
